product_key,name,board,t_change,price_before,price_after,pct,direction,gap_h,rank_pre6,rank_post6,rank_post12,rank_post24,d6,d12,d24,n_pre,n_post24
A000000247776,"[NCT 재민PICK] 이즈앤트리 어니언 뉴페어 겔크림 플러스 50ml 기획 (+겔크림 플러스 20ml, 패",sale,2026-08-22T16:00:00,19710,17900,-9.2,drop,1,81,76.7,67.6,59.2,-4.3,-13.4,-21.8,6,16
A000000248024,[리뷰이벤트/파데프리/톤업선크림] NEW 체이싱래빗 블러 퍼플 커버선크림 기획 35g(+ 팡팡퍼프 증정),suncare,2026-08-22T16:00:00,13600,16000,17.6,rise,1,61,54,71.2,78.7,-7,10.2,17.7,6,16
A000000248755,[덱스PICK/러너 필수템] 오브제 액티브 스웨트프루프 선스틱 18g,suncare,2026-08-20T15:00:00,17900,16900,-5.6,drop,1,14,13.2,19.4,17.1,-0.8,5.4,3.1,3,22
A000000248755,[덱스PICK/러너 필수템] 오브제 액티브 스웨트프루프 선스틱 18g,mens,2026-08-20T15:00:00,17900,16900,-5.6,drop,1,9.3,10,12.4,13.8,0.7,3.1,4.5,3,22
A000000248755,[덱스PICK/러너 필수템] 오브제 액티브 스웨트프루프 선스틱 18g,sale,2026-08-20T15:00:00,17900,16900,-5.6,drop,1,101,101,101,98.7,0,0,-2.3,3,22
A000000248755,[덱스PICK/러너 필수템] 오브제 액티브 스웨트프루프 선스틱 18g,suncare,2026-08-21T16:00:00,16900,18900,11.8,rise,1,7.3,5.3,41.9,56.8,-2.0,34.6,49.5,6,24
A000000248755,[덱스PICK/러너 필수템] 오브제 액티브 스웨트프루프 선스틱 18g,mens,2026-08-21T16:00:00,16900,18900,11.8,rise,1,9,5.2,37.3,45.5,-3.8,28.3,36.5,6,24
A000000248755,[덱스PICK/러너 필수템] 오브제 액티브 스웨트프루프 선스틱 18g,sale,2026-08-21T16:00:00,16900,18900,11.8,rise,1,84,80,90.5,95.8,-4,6.5,11.8,6,24
A000000249486,필리밀리 엉킴없는샴푸브러시,tools,2026-08-21T16:00:00,4900,6100,24.5,rise,1,44,35.7,62.8,67.5,-8.3,18.8,23.5,6,24
A000000249581,[저자극 각질 케어] 제로이드 핌프로브 토너 200ml,skincare,2026-08-20T15:00:00,24900,26900,8.0,rise,1,93.3,74.6,87.8,95,-18.7,-5.5,1.7,3,22
A000000249581,[저자극 각질 케어] 제로이드 핌프로브 토너 200ml,dermo,2026-08-20T15:00:00,24900,26900,8.0,rise,1,32.3,21,60.5,62.5,-11.3,28.2,30.2,3,22
A000000250088,[새로운맛 출시] 랩노쉬 프로틴 드링크 퍼펙트 350ml 4종 택1,mens,2026-08-21T16:00:00,3700,3800,2.7,rise,1,40.3,26.8,48.9,52.5,-13.5,8.6,12.2,6,24
