kind,key,mentions,likes,like_per_mention,months_present,first,last,videos,channels,max_like,shape,example,example2,example2_like
format×attr,쿠션 × 용기/패키지,1,0,0.0,1,2025-11,2025-11,1,1,0,thin,수정화장용으로는 용기가 좀 미스인듯 차라리 같은제형에 용기만 쿠션케이스로 출시했으면 어땠을까싶음,수정화장용으로는 용기가 좀 미스인듯 차라리 같은제형에 용기만 쿠션케이스로 출시했으면 어땠을까싶음,0
format×attr,블러셔 × 용기/패키지,1,0,0.0,1,2025-11,2025-11,1,1,0,thin,시럽피톡치크 처음 출시 됐을때부터 궁금했던 제품인데..🤍 페리페라 털어유 콜라보 너무 재밌게 잘 봤습니당!!👍🏻,시럽피톡치크 처음 출시 됐을때부터 궁금했던 제품인데..🤍 페리페라 털어유 콜라보 너무 재밌게 잘 봤습니당!!👍🏻,0
format×attr,토너/스킨 × 용기/패키지,1,0,0.0,1,2025-10,2025-10,1,1,0,thin,젤크림스킨도 미스트용기 추가해서 팔아주세요,젤크림스킨도 미스트용기 추가해서 팔아주세요,0
format×attr,에센스/세럼/앰플 × 색상/호수 확장,1,0,0.0,1,2026-08,2026-08,1,1,0,thin,스완형 다크서클 개선되는 앰플 좀 만들어주세요 ㅠㅠㅠㅠ,스완형 다크서클 개선되는 앰플 좀 만들어주세요 ㅠㅠㅠㅠ,0
format×attr,향수 × 국내출시/입점/유통,1,0,0.0,1,2026-07,2026-07,1,1,0,thin,"올영에도 물론 버버리나 몽블랑, 베르사체, 돌체 같은 좋은 향수들 많은거 아는데, 그냥 돈 좀 보태서 전문적으로 향수 만드는 백화점 니치향수 브랜드사셈.","올영에도 물론 버버리나 몽블랑, 베르사체, 돌체 같은 좋은 향수들 많은거 아는데, 그냥 돈 좀 보태서 전문적으로 향수 만드는 백화점 니치향수 브랜드사셈.",0
format×attr,파우더 × 세트/단품 구성,1,0,0.0,1,2025-12,2025-12,1,1,0,thin,바닐라코 붓만 따로 판매가 아니였네요^^:: 그럼 안나수이  로즈프레스드 파우더 와 차이점 뭔지 궁금해요^^::,바닐라코 붓만 따로 판매가 아니였네요^^:: 그럼 안나수이  로즈프레스드 파우더 와 차이점 뭔지 궁금해요^^::,0
format×attr,워터프루프,1,0,0.0,0,2025-08,2025-08,1,1,0,thin,워터프루프도 만들어주세용,워터프루프도 만들어주세용,0
format×attr,파운데이션 × 색상/호수 확장,1,0,0.0,1,2026-02,2026-02,1,1,0,thin,"보통 17·21·23까지만 나와서 아쉬웠는데, 올리브영 선런칭 보고 13호가 유독 눈에 확 들어오더라고요 🥹 17호 피부이지만 광경 슈화피부 추구미라 국내 13호부터 꾸셀 파데까지 다","보통 17·21·23까지만 나와서 아쉬웠는데, 올리브영 선런칭 보고 13호가 유독 눈에 확 들어오더라고요 🥹 17호 피부이지만 광경 슈화피부 추구미라 국내 13호부터 꾸셀 파데까지 다",0
format×attr,메이크업픽서,1,0,0.0,1,2026-02,2026-02,1,1,0,thin,"듀이핏이랑 픽서 너무너무 사고싶은데,, 맨날 품절중이긔,, 정샘물님 힘내셔서 재고내주세요😂","듀이핏이랑 픽서 너무너무 사고싶은데,, 맨날 품절중이긔,, 정샘물님 힘내셔서 재고내주세요😂",0
format×attr,클렌징 × 순함/민감/임산부/아기,1,0,0.0,0,2025-08,2025-08,1,1,0,thin,이니스프리 화산송이 잘쓰다가 임신해서 바하성분 때문에 못쓰고있는데 임산부가 사용할만한 피지제거용 폼클렌징없을까요?에스네이처는 별로였어요ㅠ,이니스프리 화산송이 잘쓰다가 임신해서 바하성분 때문에 못쓰고있는데 임산부가 사용할만한 피지제거용 폼클렌징없을까요?에스네이처는 별로였어요ㅠ,0
format×attr,하이라이터/쉐이딩 × 국내출시/입점/유통,1,0,0.0,1,2026-08,2026-08,1,1,0,thin,진주알 느낌 하이라이터는 올영에도 그렇게 많지 않아서 찾고있었는데 마침 다이소가 말아주다니 이 기회에 사봐야겠습니다!,진주알 느낌 하이라이터는 올영에도 그렇게 많지 않아서 찾고있었는데 마침 다이소가 말아주다니 이 기회에 사봐야겠습니다!,0
format×attr,파운데이션 × 국내출시/입점/유통,1,0,0.0,1,2026-04,2026-04,1,1,0,thin,다음파데는 저걸 사는걸로 올영이나 시코르에도 입점되면 좋겠어요😊,다음파데는 저걸 사는걸로 올영이나 시코르에도 입점되면 좋겠어요😊,0
format×attr,핸드크림 × 제형(스틱/쿠션/젤/밤/스프레이),1,0,0.0,0,2025-08,2025-08,1,1,0,thin,핸드크림도 부탁드려요❤ 지성이 쓸 수있는 핸드크림 없을까요ㅜㅠ,핸드크림도 부탁드려요❤ 지성이 쓸 수있는 핸드크림 없을까요ㅜㅠ,0
format×attr,선스틱 × 남성용,1,0,0.0,0,2024-08,2024-08,1,1,0,thin,남자 선스틱도 만들어주세요,남자 선스틱도 만들어주세요,0
format×attr,파우더 × 지성/건성,1,0,0.0,1,2026-08,2026-08,1,1,0,thin,"지성용은 너무 갈라지고 건성용은 지속력 꽝인 느낌인, 여름에 기름 뿜는 수부지한텐 바이유어 루스파우더 추천요,, 단종되지 않게 도 와 줘 …","지성용은 너무 갈라지고 건성용은 지속력 꽝인 느낌인, 여름에 기름 뿜는 수부지한텐 바이유어 루스파우더 추천요,, 단종되지 않게 도 와 줘 …",0
format×attr,클렌징 × 용기/패키지,1,0,0.0,0,2025-08,2025-08,1,1,0,thin,폼클렌저 펌프 버전으로도 출시해주시면 좋을 것 같아요!♡,폼클렌저 펌프 버전으로도 출시해주시면 좋을 것 같아요!♡,0
format×attr,뷰티디바이스 × 용기/패키지,1,0,0.0,0,2025-08,2025-08,1,1,0,thin,제이나님 미용기기도 기가맥히는걸로 만들어주세요!!!!!!!!!!!!!!!!!!!!,제이나님 미용기기도 기가맥히는걸로 만들어주세요!!!!!!!!!!!!!!!!!!!!,0
