comment_id,video_id,published_at,like_count,class,brand,format,attribute,text
UgyOCm3g8QP5vZSrzpJ4AaABAg,Ju3sYGeaOhk,2026-05-22,3,a,,하이라이터/쉐이딩;립틴트/립스틱,제형(스틱/쿠션/젤/밤/스프레이),총알 모양 립스틱으로 SNS에서 잠시 보였었던 k-브랜드인데 하이라이터도 출시했었더라구요!!
Ugx8mLXnkZYfteTlagh4AaABAg,Ju3sYGeaOhk,2026-05-22,2,b,클리오,하이라이터/쉐이딩,,언니 클리오 레몬 별사탕 하이라이터 리뷰 해주심 안될까용??
Ugy7Z79gpaYWtO_oa0F4AaABAg,Ju3sYGeaOhk,2026-05-22,30,b,,,용기/패키지,미국이나 유럽이나 예전 중국화장품 안전성이나 위생때문에 사용할 생각도 없는 사람들이 다수였는데 굳이 한국 뷰티 유튜버들이 사용해주고 안정성 보장해주고 광고해줘서 중국 트위터 에서 캡쳐해서 그걸로 해외로 바이럴 돌리고 지금은 k뷰티 파이 많이 뺏김 ㅋㅋ
UgxwJfA6asv0MlCt1JF4AaABAg,Ju3sYGeaOhk,2026-05-22,5,a,,,용기/패키지,우리나라에도 중국화장품을 찾는 사람들이 많군요😂 이런 디자인은 보석함으로 만들어주면 잘 쓸 것 같아요.
UgySDXgojJq_-vIC5pN4AaABAg,Ju3sYGeaOhk,2026-05-22,3,b,캔메이크,,,언니 중국제품 한 김에 캔메이크 일본제품도 해주시면 안될까여 😭😭
UgxHWJIUYFvofn6V9Lp4AaABAg,Ju3sYGeaOhk,2026-05-22,1,b,,,,브랜드별 추천 제품 올려주시면 좋을듯 ㅠㅠ
UgyzCm7od4hlWjilpPJ4AaABAg,Ju3sYGeaOhk,2026-05-22,21,b,,,,언니 이제 정식 유튜버로서 영상 올리는 시기를 정해줬으면 좋겠어요..ㅠㅠ❤  (언니 편집 왤케 늘었어..!!)
UgxXN3c-ifT5_Qn53Gl4AaABAg,Ju3sYGeaOhk,2026-05-22,2,b,,,,누그레이 브랜드평가 한번 부탁드림당!
Ugw7zmw9sasH8h6fLS14AaABAg,Ju3sYGeaOhk,2026-05-22,6,b,,,,엉니 일본 돈키호테 가서 일본 화장품 사서 추천템 소개해주면 안돠나여 ㅠㅠㅠ
UgxEKj2j6h_9nr9j4M14AaABAg,Ju3sYGeaOhk,2026-05-22,0,b,아멜리,,,담에 기회 되면 투크나 아멜리도 해 주세요
UgxnCFaT7m8sjwCXLiZ4AaABAg,Ju3sYGeaOhk,2026-05-22,1,b,포트레,아이섀도우,,포트레 섀도우도 좋다는데 리뷰해주세요!
Ugzz1GLI8n2VjnP5t654AaABAg,Ju3sYGeaOhk,2026-05-22,0,b,,쿠션,,여름 신상 쿠션 리뷰도 비비언니 리뷰 보고싶어요!!!
UgzYeTYCrKdjsp_W_u94AaABAg,Ju3sYGeaOhk,2026-05-22,0,b,오드타입,,,기분이 좋네요❤ 앞으로도 유익한 영상 기대하갯습니다💗💗💗 + 오드타입 ((+포트레 원브랜드 리뷰햐주세요~~!!
UgycH2Gz-VtJi0pwPqF4AaABAg,Ju3sYGeaOhk,2026-05-22,0,b,,,,한국화장품 까내릴때 대표예시가 플라워노즈였는데 비비님 솔직담백한 리뷰에 속시원해짐..
UgznYA1T-xff6L3cieN4AaABAg,Ju3sYGeaOhk,2026-05-22,0,b,,하이라이터/쉐이딩,,언니 일본 브랜드 피오니 하이라이터 리뷰해주세요🥺
UgxymVmWz_mtPtrFIPR4AaABAg,Ju3sYGeaOhk,2026-05-22,1,b,,하이라이터/쉐이딩,,"하이라이터 리뷰 해주심 안될까요,,!!"
Ugxa4Wddm2Q0ZJe_wLx4AaABAg,Ju3sYGeaOhk,2026-05-22,2,b,릴리바이레드,,색상/호수 확장,릴리바이레드해주실수있나요??진짜 잘쓰는것도있고 진짜 별로인것도 있고 엄청 극과 극이라 비비언니 리뷰 보고싶어요
